,time,flux,err
217288,-1745.2460032887757,0.999429,40.68011
217289,-1745.2453220798634,1.0011102,40.698597
217290,-1745.244640971534,1.0009881,40.694798
217291,-1745.2439598627388,0.9993233,40.670513
217292,-1745.2432786538266,1.0001082,40.677967
217293,-1745.2425975450317,0.9987185,40.656837
217294,-1745.2419165363535,0.9980889,40.646
217295,-1745.241235327907,0.99969906,40.66307
217296,-1745.2405542191118,0.9998032,40.65989
217297,-1745.2398731103167,1.0000076,40.661816
217298,-1745.2391919014044,1.0007511,40.66668
217299,-1745.2385107926093,1.0002662,40.655746
217300,-1745.237829583697,0.99916804,40.63867
217301,-1745.2364674666896,1.001769,40.66583
217302,-1745.2357863578943,0.99940675,40.63087
217303,-1745.2351051489825,0.9993078,40.626617
217304,-1745.2344240401872,1.0006294,40.6414
217305,-1745.2337428312749,0.99872833,40.61503
217306,-1745.2330617224798,0.99870986,40.61396
217307,-1745.2323806141503,1.0017496,40.647686
217308,-1745.2316995048895,1.0003392,40.632133
217309,-1745.23101839656,0.9991245,40.61239
217310,-1745.230337287765,1.000123,40.624104
217311,-1745.22965617897,0.9995448,40.615196
217312,-1745.2289749700576,0.9995546,40.618214
217313,-1745.2282938612625,1.0012437,40.63416
217314,-1745.2276127524674,0.9993647,40.6145
217315,-1745.2269315440208,0.99972206,40.614784
217316,-1745.2262504352257,1.0002506,40.62475
217317,-1745.2255693264306,1.0007817,40.629345
217318,-1745.2248883177526,1.0006213,40.627502
217319,-1745.2242071088403,0.99952567,40.618454
217320,-1745.2235260000452,0.99932075,40.611454
217321,-1745.22284489125,0.9997086,40.61903
217322,-1745.2221636828035,0.9990564,40.61234
217323,-1745.2214825740084,1.000039,40.627995
217324,-1745.2208014652133,0.9991511,40.619114
217325,-1745.220120256301,0.99940485,40.623146
217326,-1745.219439247623,0.99887586,40.61926
217327,-1745.218758138828,1.0004716,40.637806
217328,-1745.2173958211206,1.0009209,40.64346
217329,-1745.2167147127911,0.9997919,40.629528
217330,-1745.2160335038789,1.0005325,40.642094
217331,-1745.2153523950838,0.9993197,40.627003
217332,-1745.2146711861717,0.9998382,40.63444
217333,-1745.2139902776107,1.0022175,40.662262
217334,-1745.2133090686984,0.99993324,40.635815
217335,-1745.212627959903,1.0003622,40.64069
217336,-1745.211946750991,0.9989678,40.62414
217337,-1745.2112656426616,1.0001986,40.638813
217338,-1745.210584433749,1.0005013,40.64095
217339,-1745.2099033249542,0.9989212,40.62149
217340,-1745.209222216159,1.0014969,40.65187
217341,-1745.2085412074812,0.99964,40.62937
217342,-1745.207859998569,1.000359,40.63479
217343,-1745.2071788897738,1.0005205,40.635677
217344,-1745.206497780979,1.000281,40.62817
217345,-1745.205816572532,1.0002899,40.623203
217346,-1745.205135463737,0.99949986,40.61744
217347,-1745.2044543549418,0.99988955,40.614143
217348,-1745.2037731460296,1.0000705,40.614334
217349,-1745.2030921373516,0.998942,40.59969
217350,-1745.2024110285563,1.0001768,40.609856
217351,-1745.2017298196442,0.99952507,40.60277
217352,-1745.2010487108491,1.0004897,40.61137
217353,-1745.200367602054,0.9999203,40.59954
217354,-1745.1996863936074,0.99983585,40.59074
217355,-1745.1990052848123,0.9991134,40.58453
217356,-1745.1983241760172,1.0009826,40.60252
217357,-1745.1976431673393,1.0000279,40.586918
217358,-1745.196961958427,1.0001065,40.585
217359,-1745.196280849632,0.9995537,40.580235
217360,-1745.1955997408368,1.0001774,40.585667
217361,-1745.1949185319245,0.9999643,40.57888
217362,-1745.1942374231294,0.9986663,40.560295
217363,-1745.1935563143345,1.0003005,40.577003
217364,-1745.1928751058877,0.9986334,40.550236
217365,-1745.192194096744,1.0002731,40.567955
217366,-1745.1915129884146,0.99999666,40.558754
217367,-1745.1908317795023,1.0005151,40.56958
217368,-1745.1901506707072,1.0003452,40.569565
217369,-1745.189469561912,1.000068,40.561916
217370,-1745.1887883529998,1.0009103,40.573017
217371,-1745.1881072442047,1.0001918,40.559483
217372,-1745.1874261354096,1.0001448,40.559406
217373,-1745.1867451267317,1.0001198,40.562332
217374,-1745.1860639178194,0.998808,40.545074
217375,-1745.18538280949,1.0009617,40.56994
217376,-1745.1847016005777,0.999274,40.54647
217377,-1745.1840204917826,1.00114,40.575233
217378,-1745.1833393829877,0.99973,40.554096
217379,-1745.18197706528,1.000531,40.571075
217380,-1745.181295956485,0.9994912,40.55317
217381,-1745.180614947807,0.9990883,40.552654
217382,-1745.1799337388948,1.0000801,40.564068
217383,-1745.1792526300997,1.000193,40.56711
217384,-1745.178571421653,0.9986503,40.551643
217385,-1745.177890312858,0.99979424,40.568195
217386,-1745.1772092040628,0.9990705,40.562565
217387,-1745.1765279951503,0.999388,40.56938
217388,-1745.1758468863554,1.0003735,40.583115
217389,-1745.1751658776775,0.999171,40.570393
217390,-1745.1744846687652,0.9988926,40.569305
217391,-1745.17380355997,1.0006918,40.596333
217392,-1745.173122451175,1.000117,40.591198
217393,-1745.1724412422627,1.0003282,40.603027
217394,-1745.1717601339333,1.0004315,40.603634
217395,-1745.1710790246725,0.9997326,40.59976
217396,-1745.170397916343,1.0009555,40.615734
217397,-1745.169716807548,0.9997204,40.605236
217398,-1745.1690356987529,0.99983376,40.609615
217399,-1745.1683545899575,1.0000124,40.617382
217400,-1745.1676733810457,0.9996977,40.61702
217401,-1745.1669922722504,0.9989093,40.612762
217402,-1745.1663111634552,0.997521,40.597595
217403,-1745.16563005466,0.99844366,40.61779
217404,-1745.164948845748,0.9983928,40.619137
217405,-1745.16426783707,0.9993694,40.63898
217406,-1745.1635867282748,0.9996897,40.647175
217407,-1745.1629055193623,0.99902993,40.644196
217408,-1745.162224411033,1.0007463,40.66617
217409,-1745.1615433017723,0.99996454,40.66062
217410,-1745.1608620933257,1.001764,40.689224
217411,-1745.1601809845306,0.99996424,40.672176
217412,-1745.1594997756183,0.9990671,40.662212
217413,-1745.1588187669404,0.99976903,40.67749
217414,-1745.1581376581453,1.0009694,40.698643
217415,-1745.1574565493502,0.9990194,40.67922
217416,-1745.156775340438,0.99937487,40.68301
217417,-1745.1560942316428,0.9999382,40.695896
217418,-1745.1554131228477,0.9996364,40.695667
217419,-1745.1547319139354,0.99962485,40.69941
217420,-1745.1540508051403,0.99972856,40.706505
217421,-1745.1533697964624,1.0003973,40.71269
217422,-1745.15268858755,1.0003376,40.715446
217423,-1745.152007478755,1.0000387,40.71589
217424,-1745.15132636996,0.9994293,40.70998
217425,-1745.1506451615132,1.0014789,40.734997
217426,-1745.149964052718,1.0012499,40.732983
217427,-1745.1492828438058,0.9999812,40.71793
217428,-1745.1486017350107,0.99856466,40.702755
217429,-1745.1479207263328,0.9994601,40.711002
217430,-1745.1472396175377,0.9993671,40.70886
217431,-1745.1465584086254,1.0000839,40.715218
217432,-1745.1458772998303,0.9998297,40.71142
217433,-1745.145196090918,0.9980823,40.688503
217434,-1745.144514982123,0.9999813,40.712788
217435,-1745.1438338733278,0.99959934,40.706173
217436,-1745.1431527645327,1.0008901,40.71772
217437,-1745.142471556086,0.99937516,40.69642
217438,-1745.1411094381474,1.0004395,40.705647
217439,-1745.140428229235,1.0004917,40.700005
217440,-1745.1397471209057,0.9988101,40.67496
217441,-1745.139066011645,0.99826425,40.66979
217442,-1745.1383849033157,0.9982102,40.66143
217443,-1745.1377036944032,0.9998642,40.680523
217444,-1745.137022585608,0.999805,40.67916
217445,-1745.1363415764645,0.99961627,40.671795
217446,-1745.135660368018,0.99937236,40.66583
217447,-1745.1349792592227,0.9982559,40.65011
217448,-1745.1342981504276,0.9990461,40.654846
217449,-1745.1336169415154,1.0009634,40.67884
217450,-1745.1329358327202,0.9999985,40.66291
217451,-1745.1322547239251,0.99992406,40.66192
217452,-1745.1315735150129,0.9992853,40.654766
217453,-1745.130892506335,0.99998605,40.657574
217454,-1745.1295301886275,1.0004671,40.660324
217455,-1745.1288490798324,1.001523,40.67496
217456,-1745.128167971037,1.0008277,40.66551
217457,-1745.127486762125,1.0000743,40.657417
217458,-1745.126124444883,0.9999813,40.65286
217459,-1745.125443535857,1.0007541,40.66273
217460,-1745.1247623269446,1.0000875,40.659058
217461,-1745.1240812181495,0.9990094,40.643936
217462,-1745.123400009703,1.0006034,40.667767
217463,-1745.122718900442,1.0010219,40.66996
217464,-1745.122037792113,1.0003191,40.666584
217465,-1745.1213565832004,1.0004586,40.670452
217466,-1745.1206754744053,0.9992087,40.657406
217467,-1745.1199944657274,0.99908316,40.65662
217468,-1745.119313256815,0.99979025,40.667583
217469,-1745.11863214802,1.0008048,40.681618
217470,-1745.1179510392249,1.0007823,40.679996
217471,-1745.1172698303126,1.0010082,40.68943
217472,-1745.1165887215177,0.99864167,40.662636
217473,-1745.1159076127224,0.9996103,40.669907
217474,-1745.11522640381,1.0010673,40.69497
217475,-1745.1145453951322,0.9991679,40.668884
217476,-1745.113864286337,0.99974823,40.677967
217477,-1745.1131830774248,0.9989726,40.670162
217478,-1745.1125019686297,1.0004116,40.690838
217479,-1745.1118208598346,0.9990786,40.67128
217480,-1745.1111397510394,1.0001771,40.69266
217481,-1745.1104585421272,1.0002393,40.691944
217482,-1745.109777433332,0.9992947,40.67649
217483,-1745.109096424654,1.0011392,40.705807
217484,-1745.1084152157418,1.0003946,40.69363
217485,-1745.1070529981516,0.99990386,40.68532
217486,-1745.1063717892391,1.0020753,40.71425
217487,-1745.1056906804442,0.9998936,40.68041
217488,-1745.1050095716491,0.9988289,40.669388
217489,-1745.104328462854,1.0017791,40.706635
217490,-1745.1036472539415,1.0001135,40.681416
217491,-1745.1029662452638,0.99928474,40.668465
217492,-1745.1022851364687,0.9977302,40.64715
217493,-1745.1016039275564,0.99937147,40.669044
217494,-1745.100922818761,0.9996669,40.667137
217495,-1745.1002417099662,0.9989488,40.65826
217496,-1745.099560501054,1.0006288,40.673668
217497,-1745.0988793922588,0.9994208,40.6602
217498,-1745.0981981833463,0.99870425,40.648808
217499,-1745.0975171746686,0.9994186,40.652035
217500,-1745.0968360658735,0.9988304,40.64531
